index,product,Quantity Sold(cartons)
1,Garlic Oil - Vegetarian Capsule 500 mg,3
2,Water Bottle - Orange,2
3,"Brass Angle Deep - Plain, No.2",4
4,Cereal Flip Lid Container/Storage Jar - Assorted Colour,7
5,Creme Soft Soap - For Hands & Body,10
6,Germ - Removal Multipurpose Wipes,6
7,Multani Mati,16
8,Hand Sanitizer - 70% Alcohol Base,14
9,Biotin & Collagen Volumizing Hair Shampoo + Biotin & Collagen Hair Conditioner,20
10,"Scrub Pad - Anti- Bacterial, Regular",8
11,Wheat Grass Powder - Raw,17
12,Butter Cookies Gold Collection,7
13,"Face Wash - Oil Control, Active",7
14,Mold & Mildew Remover with Bleach,14
15,Just Spray - Mosquito Repellent Room Spray,3
16,Dove Plastic Soap Case - Assorted Colour,17
17,Smooth Skin Oil - For Dry Skin,3
18,Salted Pumpkin,20
19,Flax Seeds - Roasted,17
20,Organic Tofu - Soy Paneer,6
21,Ceramic Barrel Brush - Colour May Vary,9
22,Instant Noodles - Chicken Satay Flavor,17
23,Chia Seeds,9
24,Cleanse Green Tea - Whole Leaf Loose Tea,9
25,Veggie Cutter,18
26,Insulated Hot Fresh Casserole For Roti/Chapati - White,6
27,Granola - Happy Berries,5
28,Flaxseed - Pesticide Free,17
29,Paratha Puff,7
30,Lip Butter - Rose,9
31,Fruit Power - Masala Sugarcane,12
32,Chocobakes Choc Filled Cookies,19
33,Amber - Deodorant Body Spray,2
34,Green Tea - Tulsi Loose Leaf,15
35,Pet Solitaire Container Set - Silver,1
36,Dhania - Dal,8
37,Pudina Chutney Masala,9
38,Bodylicious Deodorant Spray - Mate (For Men),19
39,"Sport Deo Spray - Fresh, for Men",13
40,Choco Deck - Mini Delights,13
41,Eau De Toilette - Homme Green,17
42,Lemon & Tea Tree Oil Soap,8
43,Flavoured Cream Wafer Roll - Strawberry,20
44,Storage/Lunch Steel Container with PP Lid - Red,19
45,Plain Green Olives,1
46,Quinoa - Organic,14
47,After Shave Splash - Arctic Ice,17
48,Colour Catcher Sheets,8
49,Sauce - Sweet & Sour,14
50,Super Hot and Sweet Mango Chutney,17
51,Pani Puri Mix Paste,16
52,Peach Syrup,1
53,Acne & Oil Control Face Wash,17
54,Choco Deck - French Dessert Inspired Layered Bar,4
55,Extra Fine Green Peas,9
56,Soothing Cucumber Facial Scrub With Apricot Seeds,11
57,Foochka,20
58,Argan-Liquid Gold Hair Spa,2
59,"Baby Bed Protector - Sublimation Print, Pink",9
60,Corporate Planner Diary With Premium PU Leather Cover With Card Holder,13
61,"Atta Chalan - Stainless Steel, Size- No.8",20
62,Dog Supplement - Absolute Skin + Coat Tablet,1
63,"Peanut Butter - Creamy, Super",18
64,Sugar Free Petit Beurre - The Taste of France,14
65,Aqua Halo Rejuvenating Conditioner,13
66,Ayurvedic Anti-Tan Face Pack,19
67,Dog Supplement - Absolute Calcium Tablet,19
68,Battery Power Kids Toothbrush - Barbie,9
69,Organic Carom Seeds/Ajwain/Om Kalu,20
70,"Padded Harness - 3/4 inch, Grey Colour",14
71,"Kids Motu Patlu Toothpaste - 2-5 Years, Bubble Fruit Flavour",9
72,Pure & Gentle Face Wash,3
73,Sesame Seed Oil,5
74,Til Dil Seeds,19
75,"Penta Plastic Pet Water Bottle - Green, Wide Mouth",18
76,Acne Pimple Kit For Acne & Pimple Removal,2
77,"Disposable Bamboo Wood Skewer/Picker Sticks- For Barbeque, 12 Inch",19
78,& Moms Bathing Soap - Jasmine,9
79,Amla Chatpata Dry Fruit,18
80,"Toothbrush Superhero Assorted, Batman/Spiderman",2
81,Chips - Topica,7
82,Cup a Soup - Croutons Cream of Asparagus,2
83,Organic Dal - Masoor,20
84,Strawberry Ice Cream,19
85,Exo Dishwash Bar- Round 700 gm Box + Pril Dishwash Liquid- Active 2X Lime 225 ml,11
86,Jupiter Water/Juice Glass Tumbler,7
87,"Cheese - Feta Greek, Block",19
88,Avida 3-in-1 Semi Economy Pouch -  FG01248,13
89,Bathing Soap - Sandal & Turmeric,4
90,Sweet Corn Kernels - Chipotle,3
91,Ashwagandha Tablets,16
92,Hard Anodised Ezee-Pour Saucepan With Lid - L88,17
93,Topp Up Milk - Elaichi,1
94,Namkeen - Madras Mixture,11
95,"Stainless Steel Storage Lunch Container - Flat, Carry Snack Pack",8
96,Oceans Deodorant for Men - Long Lasting & Fresh Aquatic Fragrance,7
97,Hair Remover Spray - Foam Lemon,11
98,Mr. Magic Powder-To-Liquid Germ Protection Handwash Empty Bottle + Refill,2
99,Frankincense Oil,9
100,"Wonder Diaper Pants - Xtra Large, 12-17 Kg",7
101,Samrakshana Vaastu Deepa Thailam,11
102,Quinoa - Organic Black,3
103,Fructis Serum - Long & Strong,11
104,Citrus Blast Orange Lemon Soap Free Body Wash,16
105,Veda Marie Light Biscuits,17
